onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
15	6	94.5	89.0	16.0	1.5	84.5	clip_1
38	6	12.0	65.0	78.0	28.0	73.5	clip_2
94	5	8.0	12.5	83.0	82.5	7.5	clip_3
160	8	77.5	16.0	52.0	30.0	55.5	clip_4
190	6	4.0	6.0	53.0	88.5	10.5	clip_5
225	7	14.0	9.5	91.0	91.0	13.0	clip_6
265	7	12.5	12.0	12.0	86.5	13.5	clip_7
298	7	90.0	82.0	49.5	12.0	92.5	clip_8
371	7	50.0	50.0	50.0	88.0	12.0	clip_9
420	5	86.0	27.0	92.0	31.0	49.0	clip_10
452	6	11.0	52.5	96.5	67.5	15.0	clip_11
510	6	10.0	10.0	45.5	19.5	74.0	clip_12
536	6	80.0	80.0	49.5	16.5	74.0	clip_13
575	7	31.5	31.5	50.0	74.5	51.5	clip_14
593	7	92.5	95.5	45.0	8.5	90.5	clip_15
633	7	89.0	89.0	44.5	11.0	90.5	clip_16
663	7	88.0	74.0	81.5	56.0	90.5	clip_17
706	7	22.5	22.5	55.5	37.5	23.0	clip_18
