onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
15	6	50.0	21.5	93.5	36.0	22.5	clip_1
38	6	53.5	0.0	99.5	43.5	54.0	clip_2
94	5	50.0	0.0	0.0	99.5	65.0	clip_3
160	8	57.0	91.0	91.0	27.0	7.0	clip_4
190	6	90.5	90.5	4.0	53.5	53.5	clip_5
225	7	68.0	30.5	0.0	31.5	100.0	clip_6
265	7	56.0	0.0	0.0	77.5	77.5	clip_7
298	7	50.0	100.0	100.0	0.0	6.5	clip_8
371	7	50.0	43.0	77.0	58.5	38.5	clip_9
420	5	50.0	100.0	88.0	50.5	0.0	clip_10
452	6	49.0	25.5	0.0	54.0	61.5	clip_11
510	6	50.0	100.0	69.5	24.5	47.5	clip_12
536	6	50.0	64.0	64.0	12.5	5.0	clip_13
575	7	50.0	35.0	100.0	62.0	18.5	clip_14
593	7	50.0	72.0	100.0	0.5	0.0	clip_15
633	7	50.0	80.5	94.5	0.5	8.5	clip_16
663	7	49.5	97.5	97.5	59.5	39.0	clip_17
706	7	50.0	66.5	64.5	38.0	90.5	clip_18
