onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
9	4	72.5	72.5	70.0	66.0	35.5	clip_1
37	8	77.0	74.5	44.0	54.5	39.0	clip_2
58	4	73.0	70.0	38.0	36.5	36.5	clip_3
80	4	67.0	67.0	52.0	39.5	39.5	clip_4
104	10	67.0	67.0	52.5	42.0	52.5	clip_5
134	7	64.5	64.5	51.5	47.5	60.5	clip_6
155	5	64.0	64.0	61.0	50.5	50.5	clip_7
188	6	66.0	66.0	60.5	56.0	56.0	clip_8
209	8	69.0	69.0	61.0	48.5	47.5	clip_9
237	8	64.0	64.0	56.0	44.0	44.0	clip_10
279	9	66.5	66.5	66.5	47.0	47.0	clip_11
307	5	68.0	68.0	59.0	42.5	54.5	clip_12
358	6	50.0	50.0	54.0	56.5	48.5	clip_13
374	9	69.0	48.5	37.5	75.0	52.5	clip_14
395	9	76.5	76.5	32.0	65.5	56.0	clip_15
432	8	72.5	72.5	46.0	46.0	46.0	clip_16
488	5	73.5	64.0	44.5	62.0	46.0	clip_17
512	8	70.0	70.0	70.0	20.0	42.5	clip_18
535	5	70.5	70.5	78.5	33.0	46.5	clip_19
576	6	77.0	77.0	85.5	23.0	33.5	clip_20
