onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
3	7	50.0	54.5	46.0	42.5	53.0	clip_1
44	7	38.5	38.5	32.0	39.0	39.0	clip_2
76	5	44.5	41.0	32.0	19.5	19.5	clip_3
95	8	64.5	64.0	32.0	32.0	32.0	clip_4
139	8	33.0	33.0	31.5	31.5	31.5	clip_5
193	9	33.5	64.5	30.5	65.5	33.5	clip_6
230	7	29.5	29.5	29.5	69.0	24.0	clip_7
270	10	63.5	63.5	31.5	31.5	31.5	clip_8
316	9	28.0	18.5	18.5	76.0	23.0	clip_9
360	8	35.0	35.0	19.5	27.0	27.0	clip_10
420	10	57.0	57.0	32.5	23.0	22.5	clip_11
466	8	35.5	35.5	22.0	74.0	22.0	clip_12
493	8	54.5	54.5	33.5	43.5	34.0	clip_13
525	9	61.0	61.0	28.0	28.0	28.0	clip_14
559	5	35.5	30.0	20.0	72.5	26.0	clip_15
576	8	49.5	33.5	21.0	21.0	21.0	clip_16
590	4	62.0	50.5	25.0	63.5	19.5	clip_17
628	8	34.0	21.0	21.0	21.0	21.0	clip_18
653	5	37.0	29.5	27.0	27.0	27.0	clip_19
670	6	63.5	40.5	23.0	81.0	19.5	clip_20
689	3	64.0	33.0	28.5	35.5	29.5	clip_21
721	6	71.5	40.0	24.0	24.0	24.0	clip_22
737	5	69.0	28.5	28.5	28.5	28.5	clip_23
766	8	92.0	38.0	3.0	0.0	0.0	clip_24
