onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
30	6	50.0	54.0	28.5	77.0	77.0	clip_1
50	7	53.0	28.5	28.5	81.5	40.5	clip_2
71	5	38.0	26.5	18.0	62.0	22.5	clip_3
98	10	41.5	35.5	28.5	21.5	21.5	clip_4
128	5	44.0	44.0	39.0	85.0	30.0	clip_5
152	7	38.0	38.0	38.0	38.0	38.0	clip_6
195	8	56.0	41.0	33.0	52.5	25.5	clip_7
221	9	54.5	34.0	34.0	34.0	62.0	clip_8
255	5	28.0	28.0	28.0	28.0	28.0	clip_9
298	10	31.5	31.5	31.5	31.5	31.5	clip_10
336	4	31.5	22.0	22.0	22.0	22.0	clip_11
350	9	39.5	39.5	39.5	78.0	28.0	clip_12
376	9	43.0	58.0	33.0	47.5	70.5	clip_13
428	10	34.5	34.5	28.0	28.0	28.0	clip_14
455	4	59.5	35.0	35.0	82.5	21.0	clip_15
484	8	58.0	40.5	34.5	69.5	31.0	clip_16
510	10	53.5	42.0	49.0	36.0	36.0	clip_17
532	8	53.0	38.5	52.5	80.0	23.5	clip_18
553	7	52.5	37.0	37.0	80.0	24.0	clip_19
582	8	41.0	41.0	41.0	19.5	19.5	clip_20
