onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
1	5	63.0	73.0	93.0	23.5	23.5	clip_1
26	5	0.0	0.0	0.0	0.0	0.0	clip_2
51	6	0.0	0.0	0.0	0.0	65.0	clip_3
65	6	0.0	0.0	0.0	0.0	39.5	clip_4
99	9	0.0	0.0	0.0	0.0	0.0	clip_5
132	8	32.5	19.0	0.0	0.0	0.0	clip_6
210	8	64.0	57.5	63.5	0.0	0.0	clip_7
240	9	56.5	72.5	0.0	0.0	0.0	clip_8
263	5	58.5	58.5	0.0	0.0	0.0	clip_9
296	9	35.5	35.5	0.0	0.0	0.0	clip_10
328	6	35.5	35.5	0.0	34.5	0.0	clip_11
376	8	15.0	28.5	0.0	0.0	56.5	clip_12
393	11	23.0	30.0	0.0	25.0	56.5	clip_13
422	9	80.0	65.5	82.0	0.0	31.5	clip_14
466	5	34.5	60.5	65.5	48.5	60.5	clip_15
535	8	71.5	71.5	76.5	0.0	0.0	clip_16
551	8	100.0	81.0	100.0	0.0	72.0	clip_17
574	6	90.0	90.0	0.0	0.0	58.5	clip_18
599	7	28.0	70.0	0.0	77.5	91.5	clip_19
641	8	0.0	0.0	0.0	91.5	91.5	clip_20
