onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
16	5	61.0	58.5	14.5	0.0	0.0	clip_1
48	8	21.5	0.0	0.0	0.0	0.0	clip_2
68	4	68.5	62.5	66.0	0.0	0.0	clip_3
94	7	0.0	0.0	0.0	72.0	76.0	clip_4
116	4	56.5	54.0	29.0	29.0	36.0	clip_5
165	7	12.0	65.0	0.0	0.0	0.0	clip_6
196	6	33.5	62.0	71.0	46.5	0.0	clip_7
232	10	44.5	42.0	14.5	21.0	0.0	clip_8
285	5	74.5	28.0	63.5	29.0	0.0	clip_9
307	7	82.0	77.5	88.0	0.0	0.0	clip_10
355	10	100.0	89.5	100.0	0.0	0.0	clip_11
384	9	100.0	100.0	100.0	0.0	9.5	clip_12
