onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
2	6	50.0	50.0	58.5	28.0	28.0	clip_1
23	5	50.0	50.0	57.5	28.0	28.0	clip_2
66	6	60.0	50.0	47.0	34.5	35.5	clip_3
85	7	50.0	50.0	40.0	65.0	44.5	clip_4
106	6	50.0	50.0	39.0	51.0	46.0	clip_5
124	6	50.0	50.0	39.0	65.5	45.5	clip_6
148	6	50.0	50.0	68.0	31.0	46.0	clip_7
170	10	50.0	50.0	44.5	35.0	39.0	clip_8
195	10	39.5	39.5	28.5	81.0	55.0	clip_9
238	8	50.0	50.0	35.0	68.0	43.0	clip_10
264	8	68.0	65.5	33.5	70.5	49.0	clip_11
294	9	68.5	68.5	33.0	76.0	51.5	clip_12
335	8	54.5	54.5	40.5	87.0	55.0	clip_13
359	5	57.0	57.0	44.5	70.0	55.5	clip_14
395	6	55.0	55.0	40.0	72.5	57.0	clip_15
