onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
2	6	19.5	0.0	0.0	72.0	57.5	clip_1
23	5	0.0	26.5	10.5	31.0	43.5	clip_2
66	6	22.0	53.5	61.0	32.5	60.5	clip_3
85	7	22.0	59.0	0.0	13.5	62.5	clip_4
106	6	13.5	0.0	10.5	0.0	0.0	clip_5
124	6	0.0	0.0	0.0	100.0	74.5	clip_6
148	6	16.0	2.0	0.0	6.5	0.0	clip_7
170	10	19.0	63.5	34.0	32.0	51.5	clip_8
195	10	66.5	74.0	67.0	14.5	14.5	clip_9
238	8	15.5	64.0	0.0	0.0	80.0	clip_10
264	8	0.0	96.0	65.5	74.0	100.0	clip_11
294	9	0.0	100.0	0.0	28.0	89.0	clip_12
335	8	43.5	72.5	62.5	54.5	80.0	clip_13
359	5	0.0	65.0	24.5	73.5	84.0	clip_14
395	6	0.0	17.0	0.0	92.5	58.5	clip_15
