onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
1	5	0.0	64.0	31.5	31.5	69.0	clip_1
26	5	0.0	85.5	42.0	44.0	44.0	clip_2
51	6	1.0	53.5	44.5	48.0	57.0	clip_3
65	6	0.5	73.5	56.5	66.5	55.5	clip_4
99	9	0.0	56.0	37.0	49.5	49.5	clip_5
132	8	4.5	59.0	47.0	47.0	32.0	clip_6
210	8	3.0	97.5	33.0	23.5	83.0	clip_7
240	9	0.0	59.0	18.5	37.5	72.5	clip_8
263	5	1.5	5.0	4.5	48.5	17.0	clip_9
296	9	2.5	24.5	24.0	49.5	49.5	clip_10
328	6	4.0	62.0	34.0	47.0	68.5	clip_11
376	8	2.0	28.0	22.0	47.5	58.0	clip_12
393	11	3.0	72.5	60.5	60.5	60.5	clip_13
422	9	0.0	61.0	33.0	32.0	76.5	clip_14
466	5	15.5	62.0	21.0	35.5	35.5	clip_15
535	8	0.0	62.0	22.5	22.5	79.0	clip_16
551	8	0.0	62.0	9.5	9.5	78.5	clip_17
574	6	5.0	63.0	34.0	38.0	80.5	clip_18
599	7	2.0	67.5	71.0	86.5	65.0	clip_19
641	8	0.0	73.0	86.0	89.0	67.5	clip_20
