onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
4	5	50.0	62.5	50.0	68.5	5.5	clip_1
44	6	21.5	53.0	15.5	60.5	7.0	clip_2
71	6	50.0	3.5	3.5	94.0	0.0	clip_3
118	8	71.0	2.5	2.5	95.0	5.5	clip_4
142	7	96.0	3.0	5.0	94.5	2.5	clip_5
168	5	78.0	3.0	3.0	94.0	3.5	clip_6
201	8	77.5	0.5	0.0	95.0	3.0	clip_7
232	6	50.0	37.0	6.0	94.0	5.5	clip_8
267	8	47.0	44.5	4.5	67.0	5.0	clip_9
308	7	74.0	4.0	8.0	88.5	9.0	clip_10
341	10	50.0	7.0	6.5	91.0	8.0	clip_11
404	9	79.5	9.5	9.5	93.5	8.0	clip_12
440	8	57.0	6.5	6.5	88.5	7.0	clip_13
473	7	75.5	8.5	7.5	90.0	8.0	clip_14
510	9	85.0	5.5	11.5	93.0	9.0	clip_15
547	4	83.0	11.5	49.0	87.0	8.5	clip_16
596	9	50.0	3.5	3.5	90.5	6.0	clip_17
638	6	33.5	40.0	7.0	66.0	5.5	clip_18
662	5	30.5	5.5	5.5	88.5	7.0	clip_19
690	8	50.0	1.5	1.5	89.5	1.5	clip_20
720	7	40.0	3.0	3.0	72.5	2.5	clip_21
750	8	44.0	3.0	3.0	91.5	4.0	clip_22
777	5	51.5	4.0	4.0	93.0	4.0	clip_23
799	5	50.0	0.5	0.0	99.5	99.5	clip_24
