onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
9	4	50.0	2.5	2.5	86.5	5.0	clip_1
37	8	14.0	11.0	11.0	88.0	7.5	clip_2
58	4	50.0	4.5	4.5	88.0	88.0	clip_3
80	4	50.0	10.5	10.5	74.5	9.0	clip_4
104	10	49.5	6.5	7.0	92.5	4.5	clip_5
134	7	50.0	5.0	5.0	92.0	6.0	clip_6
155	5	50.0	5.5	5.5	91.5	7.0	clip_7
188	6	50.0	44.0	5.5	92.0	6.5	clip_8
209	8	69.0	5.5	5.5	91.0	8.0	clip_9
237	8	50.0	4.5	4.5	91.5	5.5	clip_10
279	9	50.0	59.5	6.0	77.5	3.5	clip_11
307	5	52.5	7.5	7.5	93.5	6.0	clip_12
358	6	51.0	5.5	5.5	91.5	4.5	clip_13
374	9	32.5	32.5	12.5	82.0	7.5	clip_14
395	9	37.5	52.0	51.0	79.5	6.5	clip_15
432	8	50.0	50.0	17.5	87.5	7.0	clip_16
488	5	47.5	13.5	10.0	89.5	8.5	clip_17
512	8	53.0	11.0	11.0	89.0	10.5	clip_18
535	5	80.5	14.0	10.5	91.5	8.5	clip_19
576	6	84.5	10.0	11.0	92.5	7.0	clip_20
