onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
2	6	0.0	26.5	0.0	0.0	0.0	clip_1
23	5	0.0	47.5	0.0	0.0	0.0	clip_2
66	6	4.0	45.5	0.0	0.0	0.0	clip_3
85	7	0.0	0.0	0.0	0.0	0.0	clip_4
106	6	0.0	63.0	0.0	8.5	0.0	clip_5
124	6	0.0	46.0	0.0	5.0	0.0	clip_6
148	6	0.0	100.0	0.0	24.0	0.0	clip_7
170	10	0.0	44.5	0.0	0.0	0.0	clip_8
195	10	5.0	0.0	12.5	0.0	0.0	clip_9
238	8	5.0	5.0	2.5	0.0	0.0	clip_10
264	8	0.0	33.5	11.5	10.0	0.0	clip_11
294	9	0.0	44.5	17.5	0.0	3.5	clip_12
335	8	22.5	0.0	3.5	0.0	0.0	clip_13
359	5	0.0	46.5	0.0	0.0	0.0	clip_14
395	6	0.0	50.5	0.0	0.0	0.0	clip_15
