onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
4	5	0.0	47.5	47.5	62.5	0.0	clip_1
44	6	2.5	18.5	69.0	71.5	2.5	clip_2
71	6	0.0	71.5	0.0	0.0	0.0	clip_3
118	8	0.0	73.0	0.0	0.0	0.0	clip_4
142	7	0.0	0.0	0.0	14.5	0.0	clip_5
168	5	0.0	40.5	0.0	0.0	0.0	clip_6
201	8	0.0	33.5	0.0	0.0	0.0	clip_7
232	6	0.0	49.0	0.0	12.0	0.0	clip_8
267	8	0.0	46.5	0.0	0.0	0.0	clip_9
308	7	0.0	69.5	0.0	0.0	0.0	clip_10
341	10	0.0	65.5	0.0	28.0	0.0	clip_11
404	9	5.5	49.5	0.0	30.5	0.0	clip_12
440	8	0.0	50.0	0.0	8.5	8.5	clip_13
473	7	0.0	44.5	0.0	0.0	0.0	clip_14
510	9	2.5	0.0	0.0	33.5	0.0	clip_15
547	4	0.0	49.5	0.0	0.0	0.0	clip_16
596	9	0.0	68.0	0.0	0.0	0.0	clip_17
638	6	6.0	2.0	0.0	29.0	0.0	clip_18
662	5	3.0	64.5	3.0	19.0	0.0	clip_19
690	8	18.0	0.0	0.0	12.0	0.0	clip_20
720	7	8.0	0.0	5.0	15.5	0.0	clip_21
750	8	57.5	8.5	0.0	0.0	0.0	clip_22
777	5	41.5	0.0	0.0	9.0	0.0	clip_23
799	5	0.0	0.0	0.0	0.0	0.0	clip_24
