onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
19	5	0.0	0.0	0.0	0.0	0.0	clip_1
60	6	0.0	0.0	0.0	0.0	0.0	clip_2
95	5	2.0	0.0	0.0	0.0	0.0	clip_3
131	5	0.0	0.0	0.0	0.0	0.0	clip_4
147	6	0.0	0.0	0.0	0.0	0.0	clip_5
176	6	1.0	0.0	0.0	0.0	0.0	clip_6
210	5	0.0	100.0	0.0	99.5	76.0	clip_7
233	5	0.0	99.5	0.0	91.0	0.0	clip_8
255	7	0.0	0.0	0.0	0.0	0.0	clip_9
286	6	92.0	92.0	92.0	92.0	92.0	clip_10
343	5	0.0	84.5	0.0	0.5	0.5	clip_11
385	8	0.0	89.0	0.0	89.5	89.5	clip_12
412	8	93.0	92.0	92.0	92.0	92.0	clip_13
465	7	0.0	0.0	0.0	0.0	84.5	clip_14
518	6	1.5	0.0	0.0	0.0	0.0	clip_15
555	5	0.0	0.0	0.0	0.0	0.0	clip_16
594	7	0.0	0.0	0.0	0.0	0.0	clip_17
611	7	50.0	0.5	0.5	0.5	0.5	clip_18
633	7	100.0	100.0	100.0	100.0	100.0	clip_19
666	4	0.0	0.0	0.0	0.0	0.0	clip_20
701	9	1.0	0.0	0.0	0.0	0.0	clip_21
740	8	0.0	0.0	0.0	0.0	0.0	clip_22
778	9	99.5	99.5	99.5	99.5	99.5	clip_23
799	7	100.0	100.0	100.0	100.0	100.0	clip_24
839	5	0.0	0.0	0.0	0.0	0.0	clip_25
894	6	0.0	0.0	0.0	0.0	0.0	clip_26
962	7	0.0	0.0	0.0	0.0	0.0	clip_27
1002	8	100.0	100.0	100.0	100.0	100.0	clip_28
1022	5	0.5	0.5	0.5	0.5	0.5	clip_29
