onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
3	7	100.0	55.5	100.0	0.0	0.0	clip_1
44	7	61.0	84.0	100.0	0.0	0.0	clip_2
76	5	64.0	81.0	69.0	0.0	0.0	clip_3
95	8	25.0	19.5	38.0	0.0	0.0	clip_4
139	8	57.5	62.0	34.0	0.0	0.0	clip_5
193	9	73.5	82.5	18.5	0.0	0.0	clip_6
230	7	68.0	75.5	63.5	0.0	0.0	clip_7
270	10	73.0	78.5	100.0	0.0	0.0	clip_8
316	9	33.5	24.0	39.5	0.0	0.0	clip_9
360	8	65.5	50.0	26.5	36.5	0.0	clip_10
420	10	29.0	12.0	12.0	0.0	0.0	clip_11
466	8	0.0	0.0	0.0	0.0	0.0	clip_12
493	8	0.0	0.0	0.0	0.0	0.0	clip_13
525	9	0.0	0.0	0.0	0.0	0.0	clip_14
559	5	0.0	0.0	0.0	0.0	0.0	clip_15
576	8	66.0	29.5	76.0	0.0	0.0	clip_16
590	4	52.5	65.5	77.0	0.0	0.0	clip_17
628	8	61.0	37.5	69.5	0.0	0.0	clip_18
653	5	38.0	44.5	35.5	0.0	0.0	clip_19
670	6	63.0	56.0	33.0	0.0	0.0	clip_20
689	3	27.5	41.0	85.5	0.0	0.0	clip_21
721	6	34.0	27.0	100.0	55.5	0.0	clip_22
737	5	59.0	32.0	72.5	15.5	56.5	clip_23
766	8	73.5	80.0	100.0	0.0	0.0	clip_24
