onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
27	7	60.5	60.5	34.0	0.0	0.0	clip_1
55	6	30.5	45.5	0.0	0.0	0.0	clip_2
80	8	10.0	0.0	0.0	0.0	0.0	clip_3
103	6	56.0	28.5	0.0	0.0	0.0	clip_4
135	8	26.5	35.5	16.0	0.0	0.0	clip_5
184	6	63.0	37.5	81.0	0.0	0.0	clip_6
224	8	61.5	34.0	60.0	0.0	0.0	clip_7
251	10	37.0	25.5	36.0	0.0	0.0	clip_8
282	8	59.5	41.5	0.0	0.0	0.0	clip_9
316	5	0.0	0.0	0.0	0.0	0.0	clip_10
354	8	0.0	32.5	71.0	65.0	0.0	clip_11
372	6	35.5	35.5	42.5	0.0	0.0	clip_12
405	5	90.5	68.5	100.0	0.0	0.0	clip_13
442	7	59.5	75.5	43.5	0.0	0.0	clip_14
485	5	0.0	0.0	0.0	0.0	0.0	clip_15
