onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
6	5	0.0	0.0	0.0	0.0	0.0	clip_1
29	5	0.0	0.0	0.0	58.5	32.0	clip_2
60	6	0.0	0.0	13.5	0.0	0.0	clip_3
82	7	15.0	0.0	0.0	0.0	0.0	clip_4
113	6	61.5	42.5	14.5	0.0	0.0	clip_5
134	6	62.5	74.5	92.0	0.0	0.0	clip_6
166	9	61.5	59.5	0.0	0.0	31.0	clip_7
196	8	75.5	87.0	0.0	0.0	0.0	clip_8
239	8	70.5	31.0	0.0	0.0	0.0	clip_9
267	9	72.0	54.5	0.0	0.0	0.0	clip_10
307	10	73.5	84.0	0.0	0.0	0.0	clip_11
352	8	86.0	92.0	0.0	0.0	0.0	clip_12
392	6	100.0	100.0	83.5	0.0	0.0	clip_13
405	7	100.0	100.0	37.0	0.0	0.0	clip_14
443	8	74.0	74.0	74.0	20.5	55.5	clip_15
507	9	70.5	80.5	28.5	0.0	60.0	clip_16
532	7	20.5	65.5	0.0	0.0	0.0	clip_17
570	7	25.0	61.0	0.0	0.0	37.0	clip_18
598	9	0.0	0.0	0.0	0.0	69.5	clip_19
645	8	32.5	64.0	0.0	0.0	61.5	clip_20
674	5	0.0	44.0	0.0	0.0	71.5	clip_21
707	9	63.0	39.5	58.0	14.0	41.5	clip_22
740	7	70.0	72.5	61.0	0.0	0.0	clip_23
776	10	69.5	82.5	75.5	0.0	30.0	clip_24
803	5	100.0	100.0	79.0	0.0	19.5	clip_25
829	7	72.0	72.0	28.0	28.0	58.5	clip_26
864	6	83.0	100.0	18.5	17.0	72.5	clip_27
910	8	56.5	61.0	31.5	44.0	74.5	clip_28
955	10	0.0	0.0	0.0	0.0	0.0	clip_29
972	7	35.5	60.5	0.0	63.5	100.0	clip_30
986	6	0.0	0.0	0.0	29.5	90.0	clip_31
