onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
4	5	35.0	35.0	35.0	35.0	35.0	clip_1
44	6	67.5	25.5	18.5	9.5	9.5	clip_2
71	6	50.0	50.0	50.0	50.0	50.0	clip_3
118	8	50.0	50.0	50.0	50.0	50.0	clip_4
142	7	41.5	41.5	69.0	63.5	29.5	clip_5
168	5	42.5	38.5	60.5	71.0	23.0	clip_6
201	8	63.5	32.0	75.0	26.0	22.0	clip_7
232	6	35.5	35.5	35.5	35.5	35.5	clip_8
267	8	26.5	26.5	26.5	26.5	26.5	clip_9
308	7	71.0	34.0	69.5	54.5	20.0	clip_10
341	10	62.5	33.5	46.5	28.0	28.0	clip_11
404	9	50.0	50.0	64.5	69.5	32.0	clip_12
440	8	61.5	35.0	65.5	71.0	21.5	clip_13
473	7	68.0	32.0	70.0	69.5	29.0	clip_14
510	9	67.5	32.5	66.0	10.5	15.5	clip_15
547	4	74.0	27.0	80.5	67.0	17.0	clip_16
596	9	70.5	28.0	28.0	21.5	21.5	clip_17
638	6	72.0	25.0	18.5	18.5	18.5	clip_18
662	5	71.5	24.0	17.0	10.0	10.0	clip_19
690	8	77.0	8.0	8.0	8.0	8.0	clip_20
720	7	70.5	13.5	13.5	13.5	13.5	clip_21
750	8	60.0	15.5	15.5	15.5	15.5	clip_22
777	5	73.0	24.0	24.0	24.0	24.0	clip_23
799	5	22.5	22.5	22.5	22.5	22.5	clip_24
