onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
19	5	0.0	70.5	4.5	87.0	100.0	clip_1
60	6	0.0	38.5	75.5	94.0	32.5	clip_2
95	5	35.0	73.0	25.0	82.0	100.0	clip_3
131	5	33.5	33.0	15.0	28.0	29.5	clip_4
147	6	34.0	31.0	24.5	53.0	57.5	clip_5
176	6	34.0	32.0	29.0	54.5	61.5	clip_6
210	5	37.5	58.5	32.5	57.5	95.0	clip_7
233	5	89.5	78.0	78.0	86.5	100.0	clip_8
255	7	100.0	53.5	66.5	92.5	97.0	clip_9
286	6	32.5	62.5	36.5	63.0	73.0	clip_10
343	5	34.5	50.5	35.5	35.5	61.0	clip_11
385	8	58.0	61.0	53.0	62.0	67.0	clip_12
412	8	37.5	51.5	38.0	49.0	49.0	clip_13
465	7	72.0	67.5	81.0	82.5	82.5	clip_14
518	6	38.5	32.5	25.5	40.0	35.5	clip_15
555	5	72.0	76.0	68.0	76.5	67.0	clip_16
594	7	34.0	43.5	64.5	71.0	76.5	clip_17
611	7	79.0	56.0	81.5	84.5	24.0	clip_18
633	7	23.0	59.5	45.5	66.5	74.5	clip_19
666	4	12.5	84.5	15.5	72.0	89.5	clip_20
701	9	31.5	60.0	67.5	74.0	74.5	clip_21
740	8	10.0	54.0	27.5	77.0	90.0	clip_22
778	9	0.0	90.0	15.5	86.0	96.0	clip_23
799	7	6.5	65.5	15.5	74.0	83.5	clip_24
839	5	0.0	75.5	11.0	81.0	92.0	clip_25
894	6	0.0	65.5	32.5	85.0	92.5	clip_26
962	7	25.0	36.0	21.0	63.0	74.0	clip_27
1002	8	0.0	54.0	32.0	90.5	97.5	clip_28
1022	5	0.0	60.0	40.5	73.0	78.0	clip_29
