onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
2	6	50.0	60.0	92.0	74.0	92.0	clip_1
23	5	37.5	10.5	0.0	26.0	24.0	clip_2
66	6	53.0	41.0	33.5	41.0	22.0	clip_3
85	7	42.5	36.0	45.5	71.0	54.5	clip_4
106	6	54.5	46.0	37.5	58.5	52.5	clip_5
124	6	72.0	45.5	93.5	96.5	80.0	clip_6
148	6	41.0	54.5	45.0	37.5	42.0	clip_7
170	10	38.0	28.5	27.5	54.0	69.0	clip_8
195	10	18.0	55.5	82.0	95.5	100.0	clip_9
238	8	90.0	62.5	68.5	91.5	94.0	clip_10
264	8	53.5	61.0	40.0	87.0	90.0	clip_11
294	9	10.5	61.5	13.0	88.5	83.0	clip_12
335	8	29.5	39.5	11.5	84.5	95.0	clip_13
359	5	35.0	21.5	12.5	35.0	60.0	clip_14
395	6	62.5	55.5	17.0	41.0	54.5	clip_15
