onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
3	7	0.0	97.5	10.5	94.5	65.0	clip_1
44	7	26.5	65.0	34.0	63.5	70.0	clip_2
76	5	33.5	70.0	38.0	78.0	85.5	clip_3
95	8	69.5	78.0	59.5	75.5	77.5	clip_4
139	8	68.5	71.0	77.5	80.5	77.0	clip_5
193	9	66.5	75.5	93.0	80.5	83.5	clip_6
230	7	75.5	78.5	93.0	75.5	82.5	clip_7
270	10	67.5	71.5	92.0	98.0	86.5	clip_8
316	9	31.0	27.0	22.0	18.5	18.5	clip_9
360	8	27.0	22.0	14.0	11.5	19.5	clip_10
420	10	13.0	65.5	98.0	83.0	87.0	clip_11
466	8	40.5	35.5	48.5	58.0	62.0	clip_12
493	8	60.0	57.5	57.5	73.0	80.5	clip_13
525	9	78.0	64.5	79.0	85.5	88.5	clip_14
559	5	54.5	57.5	64.0	63.5	67.5	clip_15
576	8	59.5	65.0	60.0	66.5	69.5	clip_16
590	4	23.0	64.5	81.5	85.5	79.5	clip_17
628	8	26.0	80.0	88.0	78.0	85.5	clip_18
653	5	22.0	39.5	82.0	69.0	76.0	clip_19
670	6	26.5	43.5	76.0	69.0	76.0	clip_20
689	3	30.0	96.0	96.0	93.0	81.5	clip_21
721	6	34.5	74.0	91.0	95.0	81.5	clip_22
737	5	33.0	69.0	87.5	94.5	83.5	clip_23
766	8	66.0	73.0	75.0	77.5	79.5	clip_24
