onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
30	6	50.0	50.0	49.5	24.5	46.5	clip_1
50	7	50.0	50.0	50.0	27.0	44.0	clip_2
71	5	31.0	31.0	51.5	24.0	41.0	clip_3
98	10	24.5	19.0	38.0	26.5	49.0	clip_4
128	5	23.0	23.0	43.0	18.5	21.0	clip_5
152	7	28.0	28.0	38.5	20.0	44.5	clip_6
195	8	18.0	15.0	27.0	33.0	28.5	clip_7
221	9	26.5	19.0	45.0	21.0	44.5	clip_8
255	5	23.5	20.0	42.0	20.0	43.5	clip_9
298	10	23.0	19.5	34.5	13.0	31.0	clip_10
336	4	19.5	28.0	45.5	19.0	27.0	clip_11
350	9	56.0	57.0	46.0	52.0	35.5	clip_12
376	9	21.5	21.5	54.0	23.0	42.5	clip_13
428	10	15.0	15.0	40.5	15.0	22.0	clip_14
455	4	45.5	31.5	48.5	19.0	22.5	clip_15
484	8	20.0	19.0	42.0	15.5	26.0	clip_16
510	10	18.5	17.0	62.5	18.5	18.5	clip_17
532	8	14.5	36.0	51.5	19.0	33.5	clip_18
553	7	19.0	19.0	75.0	40.0	38.0	clip_19
582	8	17.0	17.0	36.5	16.5	35.0	clip_20
