onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
15	6	75.5	75.5	66.0	31.5	31.5	clip_1
38	6	71.5	71.5	55.0	55.0	55.0	clip_2
94	5	38.0	38.0	49.0	28.0	34.5	clip_3
160	8	66.5	66.5	36.0	72.5	47.0	clip_4
190	6	64.0	64.0	63.5	42.5	48.0	clip_5
225	7	61.0	61.0	61.0	31.5	44.5	clip_6
265	7	66.0	66.0	62.5	40.0	39.0	clip_7
298	7	67.5	74.0	35.5	63.5	54.5	clip_8
371	7	65.5	65.5	42.0	64.0	57.0	clip_9
420	5	61.5	61.5	30.0	75.5	47.0	clip_10
452	6	54.5	54.5	54.5	47.0	53.5	clip_11
510	6	64.0	64.0	58.0	46.5	53.5	clip_12
536	6	68.5	68.5	42.0	63.0	54.5	clip_13
575	7	71.0	71.0	57.0	43.5	50.0	clip_14
593	7	71.0	71.0	18.5	87.0	56.0	clip_15
633	7	72.0	77.0	21.0	82.5	49.5	clip_16
663	7	61.0	63.5	27.0	78.0	56.5	clip_17
706	7	52.5	52.5	39.5	60.5	52.5	clip_18
