onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
3	7	76.0	76.0	34.0	70.0	52.0	clip_1
44	7	55.0	55.0	45.5	54.5	50.5	clip_2
76	5	62.5	62.5	39.5	54.5	48.5	clip_3
95	8	60.0	60.0	41.0	49.0	49.0	clip_4
139	8	68.5	68.5	47.5	53.0	45.0	clip_5
193	9	59.0	59.0	41.5	53.5	53.5	clip_6
230	7	64.0	64.0	37.5	65.0	55.5	clip_7
270	10	60.0	60.0	38.0	64.0	40.5	clip_8
316	9	72.0	72.0	32.5	63.5	44.5	clip_9
360	8	68.0	68.0	38.0	54.5	43.5	clip_10
420	10	68.0	68.0	36.5	58.5	47.5	clip_11
466	8	63.0	63.0	45.5	54.0	45.5	clip_12
493	8	70.0	70.0	56.5	46.0	46.0	clip_13
525	9	64.0	53.5	48.0	48.0	48.0	clip_14
559	5	50.0	50.0	50.0	35.0	46.0	clip_15
576	8	69.5	69.5	57.0	48.0	48.0	clip_16
590	4	63.0	63.0	37.5	63.5	48.5	clip_17
628	8	70.0	70.0	46.0	68.0	45.5	clip_18
653	5	50.0	50.0	47.5	32.0	44.0	clip_19
670	6	73.5	73.5	38.0	65.0	46.0	clip_20
689	3	50.0	61.5	39.5	60.5	52.0	clip_21
721	6	65.0	65.0	43.0	62.0	49.0	clip_22
737	5	76.5	76.5	37.5	69.5	52.5	clip_23
766	8	59.5	59.5	37.5	66.0	49.0	clip_24
