onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
8	4	0.0	48.0	0.0	0.0	0.0	clip_1
51	8	0.0	55.5	0.0	0.0	0.0	clip_2
80	6	0.0	54.0	0.0	0.0	0.0	clip_3
108	6	0.0	42.5	0.0	0.0	0.0	clip_4
156	3	0.0	58.0	0.0	0.0	0.0	clip_5
209	5	0.0	45.5	0.0	0.0	0.0	clip_6
228	7	3.5	28.0	0.0	0.0	0.0	clip_7
252	6	0.0	40.5	0.0	0.0	0.0	clip_8
288	6	7.0	27.0	0.0	0.0	0.0	clip_9
330	6	18.0	16.0	0.0	0.0	0.0	clip_10
355	8	0.0	0.0	0.0	0.0	0.0	clip_11
390	6	0.0	18.0	0.0	0.0	0.0	clip_12
440	8	0.0	31.0	0.0	0.0	0.0	clip_13
468	9	8.5	19.5	0.0	0.0	0.0	clip_14
501	6	20.5	14.5	0.0	0.0	0.0	clip_15
543	6	30.0	7.0	0.0	0.0	0.0	clip_16
569	8	16.5	7.5	0.0	0.0	0.0	clip_17
611	8	0.0	42.5	0.0	0.0	0.0	clip_18
645	8	0.0	44.5	1.5	1.5	0.0	clip_19
675	8	0.0	48.5	0.0	0.0	0.0	clip_20
719	6	4.5	43.5	0.0	0.0	0.0	clip_21
762	8	0.0	44.5	0.0	0.0	0.0	clip_22
790	5	0.0	47.5	0.0	0.0	0.0	clip_23
