onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
3	7	0.0	44.5	0.0	99.5	0.0	clip_1
44	7	0.0	47.5	0.5	0.5	0.5	clip_2
76	5	20.5	27.5	0.5	9.0	0.0	clip_3
95	8	0.0	33.0	0.0	0.0	0.0	clip_4
139	8	0.0	44.0	0.0	0.0	0.0	clip_5
193	9	0.0	28.0	4.0	1.5	0.0	clip_6
230	7	14.5	20.5	0.0	0.0	0.0	clip_7
270	10	9.5	17.5	0.0	1.5	0.0	clip_8
316	9	0.0	39.5	0.0	0.0	0.0	clip_9
360	8	2.0	35.5	0.0	21.5	0.0	clip_10
420	10	0.0	42.0	0.0	42.0	0.0	clip_11
466	8	0.0	37.0	0.0	0.0	0.0	clip_12
493	8	0.0	27.0	0.0	0.0	0.0	clip_13
525	9	0.0	44.5	0.0	0.0	0.0	clip_14
559	5	0.0	46.5	0.0	0.0	0.0	clip_15
576	8	0.0	49.0	0.0	54.5	0.0	clip_16
590	4	0.0	44.0	1.0	0.0	0.0	clip_17
628	8	0.0	46.0	0.0	0.0	0.0	clip_18
653	5	0.0	47.5	0.0	0.0	0.0	clip_19
670	6	0.0	49.5	0.0	0.0	0.0	clip_20
689	3	0.0	65.0	0.0	0.0	0.0	clip_21
721	6	0.0	46.0	12.0	40.5	0.0	clip_22
737	5	6.5	42.0	0.0	0.0	0.0	clip_23
766	8	0.0	47.5	0.0	47.5	0.0	clip_24
