onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
30	6	0.0	45.5	0.0	18.5	0.0	clip_1
50	7	0.0	49.0	0.0	0.0	0.0	clip_2
71	5	0.0	46.5	0.0	0.0	0.0	clip_3
98	10	0.0	51.0	0.0	0.0	0.0	clip_4
128	5	0.0	47.0	0.0	0.0	0.0	clip_5
152	7	36.0	37.0	0.0	0.0	0.0	clip_6
195	8	42.0	21.5	0.0	0.0	0.0	clip_7
221	9	18.5	27.0	1.5	0.0	0.0	clip_8
255	5	0.0	46.0	0.0	0.0	0.0	clip_9
298	10	0.0	61.0	0.0	0.0	0.0	clip_10
336	4	0.0	49.5	0.0	0.0	0.0	clip_11
350	9	0.0	48.5	0.0	0.0	0.0	clip_12
376	9	2.0	37.0	0.0	0.0	0.0	clip_13
428	10	0.0	46.0	0.0	0.0	0.0	clip_14
455	4	0.0	47.0	0.0	0.0	0.0	clip_15
484	8	0.0	45.5	0.0	0.0	0.0	clip_16
510	10	0.0	46.5	0.0	0.0	0.0	clip_17
532	8	0.0	45.0	0.0	0.0	0.0	clip_18
553	7	0.0	47.5	0.0	10.0	0.0	clip_19
582	8	0.0	43.0	0.0	0.0	0.0	clip_20
